exchange_pair,currency_pair
poloniex/binance,CRV/USDT
poloniex/binance,XRP/USDC
poloniex/binance,STEEM/USDT
poloniex/binance,WLD/USDT
poloniex/binance,SUI/USDT
poloniex/binance,FIDA/USDT
poloniex/binance,EPX/USDT
kraken/binance,XRP/BTC
kraken/binance,YFI/BTC
kraken/binance,ETC/BTC
kraken/binance,QTUM/BTC
kraken/binance,SOL/USDT
kraken/binance,BCH/USDT
kraken/binance,RUNE/EUR
kraken/binance,USDC/USDT
kraken/binance,ATOM/BTC
kraken/binance,DAI/USDT
kraken/binance,ETH/USDT
kraken/binance,KSM/ETH
kraken/binance,XRP/GBP
kraken/binance,BCH/EUR
kraken/binance,WBTC/BTC
kraken/binance,SC/ETH
kraken/binance,MLN/BTC
kraken/binance,FTM/EUR
kraken/binance,XTZ/USDT
kraken/binance,LTC/USDT
kraken/binance,TRX/ETH
kraken/binance,DOGE/USDT
kraken/binance,BAL/BTC
kraken/binance,DOGE/BTC
kraken/binance,JASMY/EUR
kraken/binance,ATOM/USDT
kraken/binance,ARB/EUR
kraken/binance,ICP/EUR
kraken/binance,ADA/USDT
kraken/binance,BTC/DAI
kraken/binance,SOL/BTC
kraken/binance,XTZ/ETH
kraken/binance,FLOW/BTC
kraken/binance,XRP/AUD
kraken/binance,SOL/ETH
kraken/binance,MATIC/EUR
kraken/binance,SAND/BTC
kraken/binance,OXT/BTC
kraken/binance,ANKR/BTC
kraken/binance,UNI/EUR
kraken/binance,MANA/ETH
kraken/binance,MATIC/USDT
kraken/binance,DOT/GBP
kraken/binance,STORJ/BTC
kraken/binance,WAVES/BTC
kraken/binance,BTC/USDC
kraken/binance,REN/BTC
kraken/binance,ETH/EUR
kraken/binance,KAVA/BTC
kraken/binance,GALA/EUR
kraken/binance,APE/EUR
kraken/binance,PAXG/BTC
kraken/binance,DOT/USDT
kraken/binance,CHZ/EUR
kraken/binance,ADA/BTC
kraken/binance,BNT/BTC
kraken/binance,GAL/EUR
kraken/binance,MATIC/BTC
kraken/binance,SUSHI/BTC
kraken/binance,XLM/EUR
kraken/binance,BCH/BTC
kraken/binance,NANO/ETH
kraken/binance,FIL/ETH
kraken/binance,XTZ/BTC
kraken/binance,ETC/EUR
kraken/binance,ICX/BTC
kraken/binance,SHIB/EUR
kraken/binance,ATOM/ETH
kraken/binance,UNI/ETH
kraken/binance,LSK/BTC
kraken/binance,DASH/BTC
kraken/binance,XMR/BTC
kraken/binance,ANT/BTC
kraken/binance,KSM/BTC
kraken/binance,LUNA/EUR
kraken/binance,SNX/BTC
kraken/binance,ENJ/GBP
kraken/binance,GMT/EUR
kraken/binance,GRT/EUR
kraken/binance,SOL/EUR
kraken/binance,SHIB/USDT
kraken/binance,ENJ/BTC
kraken/binance,EOS/EUR
kraken/binance,KNC/BTC
kraken/binance,QTUM/ETH
kraken/binance,BTT/EUR
kraken/binance,OP/EUR
kraken/binance,GRT/BTC
kraken/binance,ALGO/BTC
kraken/binance,XMR/USDT
kraken/binance,BTC/EUR
kraken/binance,OCEAN/BTC
kraken/binance,LINK/EUR
kraken/binance,ADA/EUR
kraken/binance,WAVES/ETH
kraken/binance,ADA/ETH
kraken/binance,ETH/DAI
kraken/binance,BTC/AUD
kraken/binance,OMG/BTC
kraken/binance,DOT/ETH
kraken/binance,GNO/BTC
kraken/binance,EOS/BTC
kraken/binance,SRM/BTC
kraken/binance,NANO/BTC
kraken/binance,ALGO/USDT
kraken/binance,LTC/BTC
kraken/binance,EGLD/EUR
kraken/binance,MATIC/GBP
kraken/binance,KNC/ETH
kraken/binance,MKR/BTC
kraken/binance,SC/BTC
kraken/binance,WAVES/EUR
kraken/binance,LTC/GBP
kraken/binance,APT/EUR
kraken/binance,ATOM/EUR
kraken/binance,MINA/BTC
kraken/binance,FIL/BTC
kraken/binance,ETH/AUD
kraken/binance,LINK/BTC
kraken/binance,NEAR/EUR
kraken/binance,OMG/ETH
kraken/binance,XLM/BTC
kraken/binance,DOT/EUR
kraken/binance,AVAX/USDT
kraken/binance,LTC/ETH
kraken/binance,TRX/EUR
kraken/binance,ALGO/ETH
kraken/binance,DOT/BTC
kraken/binance,BTC/USDT
kraken/binance,KEEP/BTC
kraken/binance,LINK/GBP
kraken/binance,SNX/ETH
kraken/binance,AVAX/EUR
kraken/binance,DOGE/EUR
kraken/binance,LINK/AUD
kraken/binance,EOS/USDT
kraken/binance,XRP/EUR
kraken/binance,XRP/ETH
kraken/binance,APE/USDT
kraken/binance,ENJ/EUR
kraken/binance,KAVA/ETH
kraken/binance,XRP/USDT
kraken/binance,UNI/BTC
kraken/binance,REP/BTC
kraken/binance,ETH/USDC
kraken/binance,LINK/USDT
kraken/binance,AAVE/ETH
kraken/binance,BAT/BTC
kraken/binance,ZRX/BTC
kraken/binance,TRX/BTC
kraken/binance,ADA/AUD
kraken/binance,COMP/BTC
kraken/binance,SOL/GBP
kraken/binance,MANA/BTC
kraken/binance,LPT/BTC
kraken/binance,ETC/ETH
kraken/binance,USTC/USDT
kraken/binance,EOS/ETH
kraken/binance,ICX/ETH
kraken/binance,CRV/BTC
kraken/binance,BAT/ETH
kraken/binance,YFI/EUR
kraken/binance,AAVE/BTC
kraken/binance,ETH/BTC
kraken/binance,SUI/EUR
kraken/binance,MANA/USDT
kraken/binance,ZEC/BTC
kraken/binance,ADA/GBP
kraken/binance,LINK/ETH
kraken/binance,BTC/GBP
kraken/binance,LSK/ETH
kraken/binance,LTC/EUR
kraken/binance,CRV/ETH
kraken/binance,ETH/GBP
